Ticker,Company,Country,Sector,RawTicker,Exchange,ISIN,WeightPct,SourceFund,SourceURL,SourceAsOf,MappingConfidence
002555.SZ,37 INTERACTIVE ENTERTAINMENT NETWO,China,Communication Services,002555,Shenzhen Stock Exchange,,0.01,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
9888.HK,BAIDU CLASS A INC,China,Communication Services,9888,Hong Kong Exchanges And Clearing Ltd,,1.23,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
300251.SZ,BEIJING ENLIGHT MEDIA LTD A,China,Communication Services,300251,Shenzhen Stock Exchange,,0.02,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
9626.HK,BILIBILI INC,China,Communication Services,9626,Hong Kong Exchanges And Clearing Ltd,,0.23,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
300058.SZ,BLUEFOCUS INTELLIGENT COMMUNICATIO,China,Communication Services,300058,Shenzhen Stock Exchange,,0.02,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
0772.HK,CHINA LITERATURE LTD,China,Communication Services,772,Hong Kong Exchanges And Clearing Ltd,,0.06,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
0136.HK,CHINA RUYI HOLDINGS LTD,China,Communication Services,136,Hong Kong Exchanges And Clearing Ltd,,0.1,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
0788.HK,CHINA TOWER CORP LTD H,China,Communication Services,788,Hong Kong Exchanges And Clearing Ltd,,0.23,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
600050.SS,CHINA UNITED NETWORK COMMUNICATION,China,Communication Services,600050,Shanghai Stock Exchange,,0.05,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
002027.SZ,FOCUS MEDIA INFORMATION TECHNOLOGY,China,Communication Services,002027,Shenzhen Stock Exchange,,0.03,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
002558.SZ,GIANT NETWORK GROUP LTD A,China,Communication Services,002558,Shenzhen Stock Exchange,,0.02,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
002517.SZ,KINGNET NETWORK LTD A,China,Communication Services,002517,Shenzhen Stock Exchange,,0.01,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
3888.HK,KINGSOFT LTD,China,Communication Services,3888,Hong Kong Exchanges And Clearing Ltd,,0.12,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
1024.HK,KUAISHOU TECHNOLOGY,China,Communication Services,1024,Hong Kong Exchanges And Clearing Ltd,,0.73,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
300418.SZ,KUNLUN TECH LTD A,China,Communication Services,300418,Shenzhen Stock Exchange,,0.02,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
002131.SZ,LEO GROUP LTD A,China,Communication Services,002131,Shenzhen Stock Exchange,,0.02,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
300413.SZ,MANGO EXCELLENT MEDIA LTD A,China,Communication Services,300413,Shenzhen Stock Exchange,,0.01,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
1357.HK,MEITU INC,China,Communication Services,1357,Hong Kong Exchanges And Clearing Ltd,,0.09,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
9899.HK,NETEASE CLOUD MUSIC INC,China,Communication Services,9899,Hong Kong Exchanges And Clearing Ltd,,0.06,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
9999.HK,NETEASE INC,China,Communication Services,9999,Hong Kong Exchanges And Clearing Ltd,,1.51,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
0700.HK,TENCENT HOLDINGS LTD,China,Communication Services,700,Hong Kong Exchanges And Clearing Ltd,,15.49,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
TME,TENCENT MUSIC ENTERTAINMENT GROUP,China,Communication Services,TME,NYSE,,0.29,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
002602.SZ,ZHEJIANG CENTURY HUATONG GROUP LTD,China,Communication Services,002602,Shenzhen Stock Exchange,,0.04,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
9988.HK,ALIBABA GROUP HOLDING LTD,China,Consumer Discretionary,9988,Hong Kong Exchanges And Clearing Ltd,,10.4,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
600418.SS,ANHUI JIANGHUAI AUTOMOBILE CORP LT,China,Consumer Discretionary,600418,Shanghai Stock Exchange,,0.03,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
2020.HK,ANTA SPORTS PRODUCTS LTD,China,Consumer Discretionary,2020,Hong Kong Exchanges And Clearing Ltd,,0.47,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
600733.SS,BAIC BLUEPARK NEW ENERGY TECHNOLOG,China,Consumer Discretionary,600733,Shanghai Stock Exchange,,0.02,MCHI,https://www.ishares.com/us/products/239619/ishares-msci-china-etf/1467271812596.ajax?dataType=fund&fileName=MCHI_holdings&fileType=csv,,high
