Ticker,Company,Country,Sector,RawTicker,Exchange,ISIN,WeightPct,SourceFund,SourceURL,SourceAsOf,MappingConfidence
AAF.L,AIRTEL AFRICA PLC,United Kingdom,Communication Services,AAF,London Stock Exchange,,0.02,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
AUTO.L,AUTOTRADER GROUP PLC,United Kingdom,Communication Services,AUTO,London Stock Exchange,,0.03,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
BT-A.L,BT GROUP PLC,United Kingdom,Communication Services,BT.A,London Stock Exchange,,0.08,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
CAR.AX,CAR GROUP LTD,Australia,Communication Services,CAR,Asx - All Markets,,0.03,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
CLNX.MC,CELLNEX TELECOM,Spain,Communication Services,CLNX,Bolsa De Madrid,,0.08,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
EVD.DE,CTS EVENTIM AG,Germany,Communication Services,EVD,Xetra,,0.02,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
DTE.DE,DEUTSCHE TELEKOM N AG,Germany,Communication Services,DTE,Xetra,,0.67,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
ELISA.HE,ELISA,Finland,Communication Services,ELISA,Nasdaq Omx Helsinki Ltd.,,0.03,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,med
INF.L,INFORMA PLC,United Kingdom,Communication Services,INF,London Stock Exchange,,0.06,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
KPN.AS,KONINKLIJKE KPN NV,Netherlands,Communication Services,KPN,Euronext Amsterdam,,0.1,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
ORA.PA,ORANGE SA,France,Communication Services,ORA,Nyse Euronext - Euronext Paris,,0.18,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
PUB.PA,PUBLICIS GROUPE SA,France,Communication Services,PUB,Nyse Euronext - Euronext Paris,,0.1,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
REA.AX,REA GROUP LTD,Australia,Communication Services,REA,Asx - All Markets,,0.03,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
G24.DE,SCOUT24 N,Germany,Communication Services,G24,Xetra,,0.03,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
Z74.SI,SINGAPORE TELECOMMUNICATIONS LTD,Singapore,Communication Services,Z74,Singapore Exchange,,0.14,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
SPOT,SPOTIFY TECHNOLOGY SA,Sweden,Communication Services,SPOT,NYSE,,0.41,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
SCMN.SW,SWISSCOM AG,Switzerland,Communication Services,SCMN,SIX Swiss Exchange,,0.12,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,med
TEL2-B.ST,TELE2 B,Sweden,Communication Services,TEL2 B,Nasdaq Omx Nordic,,0.05,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,med
TIT.MI,TELECOM ITALIA,Italy,Communication Services,TIT,Borsa Italiana,,0.04,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
TITR.MI,TELECOM ITALIA S.P.A.,Italy,Communication Services,TITR,Borsa Italiana,,0.02,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
TITIM.MI,TELECOM ITALIA SPA,Italy,Communication Services,TITIM,Borsa Italiana,,0.0,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
TEF.MC,TELEFONICA SA,Spain,Communication Services,TEF,Bolsa De Madrid,,0.07,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
TEL.OL,TELENOR,Norway,Communication Services,TEL,Oslo Bors Asa,,0.05,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
TELIA.ST,TELIA COMPANY,Sweden,Communication Services,TELIA,Nasdaq Omx Nordic,,0.06,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,med
TLS.AX,TELSTRA GROUP LTD,Australia,Communication Services,TLS,Asx - All Markets,,0.07,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
UMG.AS,UNIVERSAL MUSIC GROUP NV,Netherlands,Communication Services,UMG,Euronext Amsterdam,,0.11,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
VOD.L,VODAFONE GROUP PLC,United Kingdom,Communication Services,VOD,London Stock Exchange,,0.13,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
AC.PA,ACCOR SA,France,Consumer Discretionary,AC,Nyse Euronext - Euronext Paris,,0.05,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
ADS.DE,ADIDAS N AG,Germany,Consumer Discretionary,ADS,Xetra,,0.13,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
AMS.MC,AMADEUS IT GROUP SA,Spain,Consumer Discretionary,AMS,Bolsa De Madrid,,0.14,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
ALL.AX,ARISTOCRAT LEISURE LTD,Australia,Consumer Discretionary,ALL,Asx - All Markets,,0.09,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
AVOL.SW,AVOLTA AG,Switzerland,Consumer Discretionary,AVOL,SIX Swiss Exchange,,0.02,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,med
BTRW.L,BARRATT REDROW PLC,United Kingdom,Consumer Discretionary,BTRW,London Stock Exchange,,0.03,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
BMW.DE,BMW AG,Germany,Consumer Discretionary,BMW,Xetra,,0.12,EWH,https://www.ishares.com/us/products/239623/ishares-msci-hong-kong-etf/1467271812596.ajax?dataType=fund&fileName=EWH_holdings&fileType=csv,,high
