Ticker,Company,Country,Sector,RawTicker,Exchange,ISIN,WeightPct,SourceFund,SourceURL,SourceAsOf,MappingConfidence
9697.T,CAPCOM LTD,Japan,Communication Services,9697,Tokyo Stock Exchange,,0.16,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
9433.T,KDDI CORP,Japan,Communication Services,9433,Tokyo Stock Exchange,,1.06,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
9766.T,KONAMI GROUP CORP,Japan,Communication Services,9766,Tokyo Stock Exchange,,0.26,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
4689.T,LY CORP,Japan,Communication Services,4689,Tokyo Stock Exchange,,0.15,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
3659.T,NEXON LTD,Japan,Communication Services,3659,Tokyo Stock Exchange,,0.15,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7974.T,NINTENDO LTD,Japan,Communication Services,7974,Tokyo Stock Exchange,,1.28,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
9432.T,NTT INC,Japan,Communication Services,9432,Tokyo Stock Exchange,,0.62,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
9434.T,SOFTBANK CORP,Japan,Communication Services,9434,Tokyo Stock Exchange,,0.83,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
9984.T,SOFTBANK GROUP CORP,Japan,Communication Services,9984,Tokyo Stock Exchange,,1.77,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
9602.T,TOHO (TOKYO) LTD,Japan,Communication Services,9602,Tokyo Stock Exchange,,0.12,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
7259.T,AISIN CORP,Japan,Consumer Discretionary,7259,Tokyo Stock Exchange,,0.16,EWJ,https://www.ishares.com/us/products/239665/ishares-msci-japan-etf/1467271812596.ajax?dataType=fund&fileName=EWJ_holdings&fileType=csv,,high
