Ticker,Company,Country,Sector,RawTicker,Exchange,ISIN,WeightPct,SourceFund,SourceURL,SourceAsOf,MappingConfidence
AFFLE.NS,AFFLE I LTD,India,Communication Services,AFFLE,National Stock Exchange Of India,,0.29,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
HFCL.NS,HFCL LTD,India,Communication Services,HFCL,National Stock Exchange Of India,,0.21,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
NAZARA.NS,NAZARA TECHNOLOGIES LTD,India,Communication Services,NAZARA,National Stock Exchange Of India,,0.12,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
NETWORK18.NS,NETWORK18 MEDIA AND INVESTMENTS LT,India,Communication Services,NETWORK18,National Stock Exchange Of India,,0.06,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
PVRINOX.NS,PVR INOX LTD,India,Communication Services,PVRINOX,National Stock Exchange Of India,,0.25,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
RAILTEL.NS,RAILTEL CORP OF INDIA LTD,India,Communication Services,RAILTEL,National Stock Exchange Of India,,0.09,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
SAREGAMA.NS,SAREGAMA INDIA LTD,India,Communication Services,SAREGAMA,National Stock Exchange Of India,,0.08,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
SUNTV.NS,SUN TV NETWORK LTD,India,Communication Services,SUNTV,National Stock Exchange Of India,,0.19,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
TTML.NS,TATA TELESERVICES MAHARASHTRA LTD,India,Communication Services,TTML,National Stock Exchange Of India,,0.06,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
TIPSMUSIC.NS,TIPS MUSIC LTD,India,Communication Services,TIPSMUSIC,National Stock Exchange Of India,,0.07,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ZEEL.NS,ZEE ENTERTAINMENT ENTERPRISES LTD,India,Communication Services,ZEEL,National Stock Exchange Of India,,0.2,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ABFRL.NS,ADITYA BIRLA FASHION AND RETAIL LT,India,Consumer Discretionary,ABFRL,National Stock Exchange Of India,,0.1,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ABLBL.NS,ADITYA BIRLA LIFESTYLE BRANDS LTD,India,Consumer Discretionary,ABLBL,National Stock Exchange Of India,,0.14,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
AVL.NS,ADITYA VISION LTD,India,Consumer Discretionary,AVL,National Stock Exchange Of India,,0.09,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ALOKINDS.NS,ALOK INDUSTRIES LTD,India,Consumer Discretionary,ALOKINDS,National Stock Exchange Of India,,0.05,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
AMBER.NS,AMBER ENTERPRISES INDIA LTD,India,Consumer Discretionary,AMBER,National Stock Exchange Of India,,0.51,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
APOLLOTYRE.NS,APOLLO TYRES LTD,India,Consumer Discretionary,APOLLOTYRE,National Stock Exchange Of India,,0.41,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ARVINDFASN.NS,ARVIND FASHIONS LTD,India,Consumer Discretionary,ARVINDFASN,National Stock Exchange Of India,,0.11,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ARVIND.NS,ARVIND LTD,India,Consumer Discretionary,ARVIND,National Stock Exchange Of India,,0.17,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ASAHIINDIA.NS,ASAHI INDIA GLASS LTD,India,Consumer Discretionary,ASAHIINDIA,National Stock Exchange Of India,,0.21,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ASKAUTOLTD.NS,ASK AUTOMOTIVE LTD,India,Consumer Discretionary,ASKAUTOLTD,National Stock Exchange Of India,,0.06,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
BAJAJELEC.NS,BAJAJ ELECTRICALS LTD,India,Consumer Discretionary,BAJAJELEC,National Stock Exchange Of India,,0.05,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
BANCOINDIA.NS,BANCO PRODUCTS INDIA LTD,India,Consumer Discretionary,BANCOINDIA,National Stock Exchange Of India,,0.08,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
BATAINDIA.NS,BATA INDIA LTD,India,Consumer Discretionary,BATAINDIA,National Stock Exchange Of India,,0.12,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
BELRISE.NS,BELRISE INDUSTRIES LTD,India,Consumer Discretionary,BELRISE,National Stock Exchange Of India,,0.14,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
FIRSTCRY.NS,BRAINBEES SOLUTIONS LTD,India,Consumer Discretionary,FIRSTCRY,National Stock Exchange Of India,,0.07,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CAMPUS.NS,CAMPUS ACTIVEWEAR LTD,India,Consumer Discretionary,CAMPUS,National Stock Exchange Of India,,0.07,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CARTRADE.NS,CARTRADE TECH LTD,India,Consumer Discretionary,CARTRADE,National Stock Exchange Of India,,0.25,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CEATLTD.NS,CEAT LTD,India,Consumer Discretionary,CEATLTD,National Stock Exchange Of India,,0.22,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CELLO.NS,CELLO WORLD LTD,India,Consumer Discretionary,CELLO,National Stock Exchange Of India,,0.06,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CHALET.NS,CHALET HOTELS LTD,India,Consumer Discretionary,CHALET,National Stock Exchange Of India,,0.19,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CIEINDIA.NS,CIE AUTOMOTIVE INDIA LTD,India,Consumer Discretionary,CIEINDIA,National Stock Exchange Of India,,0.2,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
CROMPTON.NS,CROMPTON GREAVES CONSUMER ELECTRIC,India,Consumer Discretionary,CROMPTON,National Stock Exchange Of India,,0.52,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
DEVYANI.NS,DEVYANI INTERNATIONAL LTD,India,Consumer Discretionary,DEVYANI,National Stock Exchange Of India,,0.16,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
DYNAMATECH.NS,DYNAMATIC TECHNOLOGIES LTD,India,Consumer Discretionary,DYNAMATECH,National Stock Exchange Of India,,0.11,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
EIHOTEL.NS,EIH LTD,India,Consumer Discretionary,EIHOTEL,National Stock Exchange Of India,,0.23,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
ENDURANCE.NS,ENDURANCE TECHNOLOGIES LTD,India,Consumer Discretionary,ENDURANCE,National Stock Exchange Of India,,0.28,EWY,https://www.ishares.com/us/products/239660/ishares-msci-south-korea-etf/1467271812596.ajax?dataType=fund&fileName=EWY_holdings&fileType=csv,,high
