Ticker,Company,Country,Sector,RawTicker,Exchange,ISIN,WeightPct,SourceFund,SourceURL,SourceAsOf,MappingConfidence
ADVANC.R,ADVANCED INFO SERVICE NON-VOTING D,Thailand,Communication Services,ADVANC.R,Stock Exchange Of Thailand,,8.15,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
JTS-R.BK,JASMINE TECHNOLOGY SOLUTION NON-VO,Thailand,Communication Services,JTS.R,Stock Exchange Of Thailand,,0.19,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
TRUE-R.BK,TRUE CORPORATION NON-VOTING DR PCL,Thailand,Communication Services,TRUE.R,Stock Exchange Of Thailand,,2.74,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
VGI-R.BK,VGI NON-VOTING DR PCL,Thailand,Communication Services,VGI.R,Stock Exchange Of Thailand,,0.26,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
AWC-R.BK,ASSET WORLD CORP PCL NON-VOTING DR,Thailand,Consumer Discretionary,AWC.R,Stock Exchange Of Thailand,,0.33,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
CENTEL.R,CENTRAL PLAZA HOTEL NON-VOTING DR,Thailand,Consumer Discretionary,CENTEL.R,Stock Exchange Of Thailand,,0.41,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
CRC-R.BK,CENTRAL RETAIL CORPORATION PCL NON,Thailand,Consumer Discretionary,CRC.R,Stock Exchange Of Thailand,,0.54,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
COM7.R,COM7 PCL NON-VOTING DR,Thailand,Consumer Discretionary,COM7.R,Stock Exchange Of Thailand,,0.53,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
HMPRO-R.BK,HOME PRODUCT CENTER NON-VOTING DR,Thailand,Consumer Discretionary,HMPRO.R,Stock Exchange Of Thailand,,0.76,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
MINT-R.BK,MINOR INTERNATIONAL PUBLIC NON-VOT,Thailand,Consumer Discretionary,MINT.R,Stock Exchange Of Thailand,,1.43,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
GLOBAL.R,SIAM GLOBAL HOUSE NON-VOTING DR PC,Thailand,Consumer Discretionary,GLOBAL.R,Stock Exchange Of Thailand,,0.25,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
STA-R.BK,SRI TRANG-AGRO INDUSTRY NON-VOTING,Thailand,Consumer Discretionary,STA.R,Stock Exchange Of Thailand,,0.26,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
BJC-R.BK,BERLI JUCKER NON-VOTING DR PCL,Thailand,Consumer Staples,BJC.R,Stock Exchange Of Thailand,,0.27,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
BTG-R.BK,BETAGRO NON-VOTING DR PCL,Thailand,Consumer Staples,BTG.R,Stock Exchange Of Thailand,,0.29,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
CBG-R.BK,CARABAO GROUP PCL SHS NON-VOTING D,Thailand,Consumer Staples,CBG.R,Stock Exchange Of Thailand,,0.25,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
CPF-R.BK,CHAROEN POKPHAND FOODS NON-VOTING,Thailand,Consumer Staples,CPF.R,Stock Exchange Of Thailand,,1.46,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
CPALL-R.BK,CP ALL NON-VOTING DR PCL,Thailand,Consumer Staples,CPALL.R,Stock Exchange Of Thailand,,5.37,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
ITC-R.BK,I-TAIL CORPORATION PUBLIC COMPANY,Thailand,Consumer Staples,ITC.R,Stock Exchange Of Thailand,,0.21,ENZL,https://www.ishares.com/us/products/239688/ishares-msci-new-zealand-etf/1467271812596.ajax?dataType=fund&fileName=ENZL_holdings&fileType=csv,,high
