Ticker,Company,Country,Sector,MappingConfidence,SourceFund,SourceURL,SourceAsOf
1120.SR,AL RAJHI BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2222.SR,SAUDI ARABIAN OIL,Saudi Arabia,Energy,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1180.SR,THE SAUDI NATIONAL BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1211.SR,SAUDI ARABIAN MINING,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
7010.SR,SAUDI TELECOM,Saudi Arabia,Communication Services,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2010.SR,SAUDI BASIC INDUSTRIES,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1010.SR,RIYAD BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1150.SR,ALINMA BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1060.SR,SAUDI AWWAL BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2020.SR,SABIC AGRI-NUTRIENTS,Saudi Arabia,Materials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2082.SR,ACWA POWER CO,Saudi Arabia,Utilities,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
7020.SR,ETIHAD ETISALAT,Saudi Arabia,Communication Services,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1050.SR,BANQUE SAUDI FRANSI,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
4013.SR,DR SULAIMAN AL HABIB MEDICAL GRP,Saudi Arabia,Health Care,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
2280.SR,ALMARAI,Saudi Arabia,Consumer Staples,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1140.SR,BANK ALBILAD,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
1080.SR,ARAB NATIONAL BANK,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
8210.SR,BUPA ARABIA,Saudi Arabia,Financials,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
7203.SR,AL-ELM INFORMATION SECURITY COMPAN,Saudi Arabia,Information Technology,manual,manual,hardcoded:MSCI_MANUAL_TICKERS,
