# Daily Report

_Generated: **2026-03-11 06:03 CET** | Version: **v98**_

## 1) Market recap & positioning

**Executive summary:**

Headline: Geopolitical oil headlines and renewed AI-chip chatter pulled markets in opposite directions as investors weighed energy disruption risks against pockets of tech optimism. The Nasdaq 100 fell 4.3% while the S&P 500 slipped 0.2%, even as the VIX eased 2.2%, extending a choppy three-to-four-week tape in which volatility has stayed elevated (VIX +22% over 1M). Biggest movers were UniCredit (+5.7%), Cocoa (+5.0%) and SK Hynix (+4.6%) higher, with Nordic American Tankers down 4.6%.

**Key tape (multi-horizon):**

| Instrument       |     Last | 1D                                         | 7D                                          | 1M                                          | 3M                                          | 6M                                           |
| :--- | ---: | ---: | ---: | ---: | ---: | ---: |
| Nasdaq 100       | 24956.5  | <span style="color:#b91c1c;">-0.04%</span> | <span style="color:#11823b;">+0.96%</span>  | <span style="color:#b91c1c;">-0.48%</span>  | <span style="color:#b91c1c;">-3.18%</span>  | <span style="color:#11823b;">+4.02%</span>   |
| S&P 500          |  6781.48 | <span style="color:#b91c1c;">-0.21%</span> | <span style="color:#b91c1c;">-0.52%</span>  | <span style="color:#b91c1c;">-2.18%</span>  | <span style="color:#b91c1c;">-1.53%</span>  | <span style="color:#11823b;">+2.95%</span>   |
| STOXX Europe 600 |   606.12 | <span style="color:#11823b;">+1.88%</span> | <span style="color:#11823b;">+0.28%</span>  | <span style="color:#b91c1c;">-1.78%</span>  | <span style="color:#11823b;">+4.83%</span>  | <span style="color:#11823b;">+9.15%</span>   |
| DAX              | 23968.6  | <span style="color:#11823b;">+2.39%</span> | <span style="color:#11823b;">+0.75%</span>  | <span style="color:#b91c1c;">-3.05%</span>  | <span style="color:#b91c1c;">-0.67%</span>  | <span style="color:#11823b;">+1.12%</span>   |
| CAC 40           |  8057.36 | <span style="color:#11823b;">+1.79%</span> | <span style="color:#b91c1c;">-0.57%</span>  | <span style="color:#b91c1c;">-2.62%</span>  | <span style="color:#11823b;">+0.43%</span>  | <span style="color:#11823b;">+2.99%</span>   |
| FTSE 100         | 10412.2  | <span style="color:#11823b;">+1.59%</span> | <span style="color:#b91c1c;">-0.69%</span>  | <span style="color:#11823b;">+0.41%</span>  | <span style="color:#11823b;">+7.84%</span>  | <span style="color:#11823b;">+11.99%</span>  |
| VIX              |    24.93 | <span style="color:#b91c1c;">-2.24%</span> | <span style="color:#11823b;">+5.77%</span>  | <span style="color:#11823b;">+22.39%</span> | <span style="color:#11823b;">+58.08%</span> | <span style="color:#11823b;">+69.48%</span>  |
| EUR/USD          |     1.16 | <span style="color:#11823b;">+0.16%</span> | <span style="color:#11823b;">+0.20%</span>  | <span style="color:#b91c1c;">-1.60%</span>  | <span style="color:#b91c1c;">-0.56%</span>  | <span style="color:#b91c1c;">-0.84%</span>   |
| WTI Crude        |    83.05 | <span style="color:#b91c1c;">-0.48%</span> | <span style="color:#11823b;">+11.24%</span> | <span style="color:#11823b;">+29.04%</span> | <span style="color:#11823b;">+44.18%</span> | <span style="color:#11823b;">+32.48%</span>  |
| Gold             |  5210.4  | <span style="color:#b91c1c;">-0.37%</span> | <span style="color:#11823b;">+1.76%</span>  | <span style="color:#11823b;">+3.16%</span>  | <span style="color:#11823b;">+21.58%</span> | <span style="color:#11823b;">+42.77%</span>  |
| Silver           |    88.36 | <span style="color:#b91c1c;">-0.81%</span> | <span style="color:#11823b;">+6.93%</span>  | <span style="color:#11823b;">+7.67%</span>  | <span style="color:#11823b;">+38.22%</span> | <span style="color:#11823b;">+108.46%</span> |
| Coffee           |   294.7  | <span style="color:#b91c1c;">-2.34%</span> | <span style="color:#11823b;">+2.70%</span>  | <span style="color:#b91c1c;">-0.62%</span>  | <span style="color:#b91c1c;">-26.47%</span> | <span style="color:#b91c1c;">-26.33%</span>  |
| Cocoa            |  3356    | <span style="color:#11823b;">+4.97%</span> | <span style="color:#11823b;">+14.74%</span> | <span style="color:#b91c1c;">-20.04%</span> | <span style="color:#b91c1c;">-45.59%</span> | <span style="color:#b91c1c;">-54.96%</span>  |
| Bitcoin          | 70154    | <span style="color:#11823b;">+2.56%</span> | <span style="color:#b91c1c;">-3.52%</span>  | <span style="color:#11823b;">+0.05%</span>  | <span style="color:#b91c1c;">-24.17%</span> | <span style="color:#b91c1c;">-39.58%</span>  |

**Macro charts (5Y):**

<table><tr><td style='padding-right:12px;'><img src='https://94yz6n6q9z-arch.github.io/daily-ticker-report/img/macro_vix_5y.png?v=20260311050314' width='414' style='width:414px;max-width:414px;height:auto;'></td><td><img src='https://94yz6n6q9z-arch.github.io/daily-ticker-report/img/macro_eurusd_5y.png?v=20260311050314' width='414' style='width:414px;max-width:414px;height:auto;'></td></tr></table>


## 2) Biggest movers (≥ 4%)

**Session gainers:**

| Ticker   | pct    |
| :--- | ---: |
| UCG      | +5.72% |
| Cocoa    | +4.97% |
| SK Hynix | +4.58% |

**Session losers:**

| Ticker   | pct    |
| :--- | ---: |
| NAT      | -4.62% |

**After-hours gainers:** _None ≥ 4%_

**After-hours losers:** _None ≥ 4%_

## 3) Earnings next 14 days (your watchlist)

_Upcoming earnings dates for your  watchlist._

| Ticker   | Earnings Date   |   Days |
| :--- | ---: | ---: |
| MAU      | 2026-03-12      |      1 |
| RRTL     | 2026-03-12      |      1 |
| OKLO     | 2026-03-17      |      6 |
| BYDDY    | 2026-03-24      |     13 |

## 4) Technical triggers

### Signal engine health (diagnostics)

- Tickers scanned: **6301**; usable OHLCV: **6033**

- Candidates found: **1658** (top patterns: DEAD_CAT_BOUNCE:348, IHS:315, RECT:226, HS_TOP:213, RECT_BOTTOM:204, RECT_TOP:146, MOMO_TREND:76, ASC_TRIANGLE:68)

- Live signals: EARLY **72**, CONFIRMED **42**, VALIDATED **29** (total 143)

- Geometry restored today: HS/IHS **45**, Band **35**

- Download: universe **6301** → downloaded **6056** → usable(≥80 bars) **6033** | short(<80) **23** | no data **245**

  - No data by exchange: .KL: 85/86, US: 47/2576, .PS: 33/33, .AD: 22/22, .DU: 21/22, .NS: 10/627, .HK: 9/400, .R: 4/4, .KS: 2/320, .PR: 2/5

  - No data by country: Malaysia: 85, United Arab Emirates: 43, Philippines: 33, Russian Federation: 32, United States: 13, India: 11, China: 9, Thailand: 4, New Zealand: 3, Korea (South): 2

- **GC Data Layer** (as of 2026-03-11): universe **6286** tickers
 (World: 1107 + EM: 3122 + Korea: 464)
 | rev data: **5806** (92%) | EPS history: **6005** (95%) | blind: **34** (0%)


**EPS data coverage** (per ticker, dominant source):

| | yfinance | investing.com | FMP | Finnhub | YoY proxy | none |
| :--- | ---: | ---: | ---: | ---: | ---: | ---: |
| Estimate | **5072** (80%) | **0** (0%) | **18** (0%) | **0** (0%) | **0** (0%) | **916** (14%) |
| Reported | **6006** (95%) | **0** (0%) | **0** (0%) | **0** (0%) | – | **0** (0%) |

**Revenue data coverage** (per ticker, dominant source):

| | yfinance | investing.com | FMP | Finnhub | YoY proxy | none |
| :--- | ---: | ---: | ---: | ---: | ---: | ---: |
| Estimate | **0** (0%) | **0** (0%) | **2445** (38%) | **0** (0%) | **3471** (55%) | **90** (1%) |
| Reported | **2820** (44%) | **0** (0%) | **2423** (38%) | **0** (0%) | – | **763** (12%) |

**Per-country estimate coverage** (N = tickers | EPS est only = has EPS est but no Rev est | No est = both missing):

| Country | N | EPS rep | EPS est | Rev rep | Rev est | All-4 | EPS est only | Rev est only | No est ⚠ |
| :--- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: |
| 🇺🇸 US | 2563 | **2512** (98%) | **2500** (97%) | **2472** (96%) | **2422** (94%) | 2419 | 78 | – | **12** ⚠ |
| 🇮🇳 India | 627 | **616** (98%) | **574** (91%) | **522** (83%) | **0** (0%) | 0 | 574 | – | **42** ⚠ |
| 🇭🇰 Hong Kong | 400 | **383** (95%) | **126** (31%) | **323** (80%) | **0** (0%) | 0 | 126 | – | **257** ⚠ |
| 🇰🇷 S. Korea | 320 | **317** (99%) | **197** (61%) | **243** (75%) | **0** (0%) | 0 | 197 | – | **120** ⚠ |
| 🇹🇼 Taiwan | 319 | **318** (99%) | **310** (97%) | **242** (75%) | **0** (0%) | 0 | 310 | – | **8** ⚠ |
| .SS | 250 | **245** (98%) | **204** (81%) | **209** (83%) | **0** (0%) | 0 | 204 | – | **41** ⚠ |
| 🇯🇵 Japan | 179 | **179** (100%) | **178** (99%) | **50** (27%) | **0** (0%) | 0 | 178 | – | 1 |
| .SZ | 167 | **167** (100%) | **143** (85%) | **150** (89%) | **0** (0%) | 0 | 143 | – | **24** ⚠ |
| .SR | 122 | **122** (100%) | **86** (70%) | **104** (85%) | **0** (0%) | 0 | 86 | – | **36** ⚠ |
| 🇧🇷 Brazil/SA | 106 | **103** (97%) | **101** (95%) | **97** (91%) | **0** (0%) | 0 | 101 | – | 2 |
| 🇲🇾 Malaysia | 86 | **0** (0%) | **0** (0%) | **0** (0%) | **0** (0%) | 0 | – | – | 0 |
| 🇨🇦 Canada | 83 | **83** (100%) | **83** (100%) | **82** (98%) | **0** (0%) | 0 | 83 | – | 0 |
| 🇮🇩 Indonesia | 79 | **74** (93%) | **50** (63%) | **61** (77%) | **0** (0%) | 0 | 50 | – | **24** ⚠ |
| 🇬🇧 UK | 77 | **74** (96%) | **45** (58%) | **58** (75%) | **20** (25%) | 20 | 25 | – | **29** ⚠ |
| 🇹🇷 Turkey | 75 | **74** (98%) | **38** (50%) | **42** (56%) | **0** (0%) | 0 | 38 | – | **36** ⚠ |
| 🇿🇦 S. Africa | 72 | **72** (100%) | **11** (15%) | **63** (87%) | **0** (0%) | 0 | 11 | – | **61** ⚠ |
| 🇹🇭 Thailand | 71 | **68** (95%) | **0** (0%) | **68** (95%) | **0** (0%) | 0 | – | – | **68** ⚠ |
| 🇩🇪 Germany | 55 | **53** (96%) | **52** (94%) | **46** (83%) | **0** (0%) | 0 | 52 | – | 1 |
| 🇫🇷 France | 52 | **52** (100%) | **30** (57%) | **34** (65%) | **0** (0%) | 0 | 30 | – | **22** ⚠ |
| 🇦🇺 Australia | 46 | **46** (100%) | **12** (26%) | **34** (73%) | **0** (0%) | 0 | 12 | – | **34** ⚠ |
| 🇸🇪 Sweden | 41 | **41** (100%) | **34** (82%) | **40** (97%) | **0** (0%) | 0 | 34 | – | **7** ⚠ |
| 🇨🇭 Switzerland | 40 | **40** (100%) | **25** (62%) | **24** (60%) | **0** (0%) | 0 | 25 | – | **15** ⚠ |
| 🇲🇽 Mexico | 39 | **38** (97%) | **38** (97%) | **35** (89%) | **0** (0%) | 0 | 38 | – | 0 |
| .PS | 33 | **0** (0%) | **0** (0%) | **0** (0%) | **0** (0%) | 0 | – | – | 0 |
| 🇵🇱 Poland | 33 | **33** (100%) | **26** (78%) | **20** (60%) | **0** (0%) | 0 | 26 | – | **7** ⚠ |
| .KW | 28 | **28** (100%) | **9** (32%) | **24** (85%) | **3** (10%) | 3 | 6 | – | **19** ⚠ |
| 🇳🇱 Netherlands | 27 | **26** (96%) | **19** (70%) | **19** (70%) | **0** (0%) | 0 | 19 | – | **7** ⚠ |
| 🇮🇹 Italy | 27 | **26** (96%) | **25** (92%) | **15** (55%) | **0** (0%) | 0 | 25 | – | 1 |
| 🇨🇱 Chile | 25 | **25** (100%) | **24** (96%) | **18** (72%) | **0** (0%) | 0 | 24 | – | 1 |
| 🇬🇷 Greece | 24 | **22** (91%) | **16** (66%) | **14** (58%) | **0** (0%) | 0 | 16 | – | **6** ⚠ |
| .QA | 23 | **23** (100%) | **22** (95%) | **19** (82%) | **0** (0%) | 0 | 22 | – | 1 |
| 🇦🇪 UAE-AD | 22 | **0** (0%) | **0** (0%) | **0** (0%) | **0** (0%) | 0 | – | – | 0 |
| 🇪🇸 Spain | 22 | **22** (100%) | **22** (100%) | **17** (77%) | **0** (0%) | 0 | 22 | – | 0 |
| 🇦🇪 UAE-DU | 22 | **1** (4%) | **0** (0%) | **0** (0%) | **0** (0%) | 0 | – | – | 1 |
| 🇸🇬 Singapore | 16 | **16** (100%) | **13** (81%) | **6** (37%) | **0** (0%) | 0 | 13 | – | 3 |
| 🇩🇰 Denmark | 15 | **15** (100%) | **14** (93%) | **13** (86%) | **0** (0%) | 0 | 14 | – | 1 |
| 🇫🇮 Finland | 13 | **13** (100%) | **13** (100%) | **13** (100%) | **0** (0%) | 0 | 13 | – | 0 |
| 🇧🇪 Belgium | 12 | **12** (100%) | **7** (58%) | **8** (66%) | **0** (0%) | 0 | 7 | – | 5 |
| 🇳🇴 Norway | 11 | **11** (100%) | **11** (100%) | **11** (100%) | **0** (0%) | 0 | 11 | – | 0 |
| 🇮🇱 Israel | 11 | **11** (100%) | **10** (90%) | **9** (81%) | **0** (0%) | 0 | 10 | – | 1 |
| .CA | 9 | **9** (100%) | **0** (0%) | **9** (100%) | **0** (0%) | 0 | – | – | **9** ⚠ |
| .CL | 8 | **8** (100%) | **5** (62%) | **6** (75%) | **0** (0%) | 0 | 5 | – | 3 |
| 🇨🇿 Czech Rep. | 5 | **3** (60%) | **3** (60%) | **2** (40%) | **0** (0%) | 0 | 3 | – | 0 |
| 🇭🇺 Hungary | 5 | **5*
